codeInseeImmo,valeur_moyenne_fonciere,local_total,local_maison,local_appart
2469,739,6,6,0
2645,1176,2,2,0
2590,2116,3,3,0
2199,1412,7,7,0
2345,2500,4,4,0
2229,1104,1,1,0
2832,1659,4,4,0
2532,1385,8,8,0
2779,726,1,1,0
2667,1779,2,2,0
2282,1002,3,3,0
2127,1143,1,1,0
2631,1564,3,3,0
2567,620,2,2,0
2822,1556,4,4,0
2164,1782,7,7,0
2617,1019,5,5,0
2086,1381,3,3,0
2553,203,1,1,0
2208,1378,2,2,0
2351,2214,1,1,0
2266,2330,3,3,0
2699,1373,2,2,0
2341,569,3,3,0
2246,1021,3,3,0
2153,1267,7,7,0
2827,576,2,2,0
2426,1139,2,2,0
2118,2506,2,2,0
2140,1747,5,5,0
2484,1234,5,5,0
2574,1111,19,7,12
2682,1700,2,2,0
2566,1367,6,6,0
2539,1775,2,2,0
2736,1370,5,5,0
2560,1300,1,1,0
2581,1447,2,2,0
2650,709,3,3,0
2519,1095,2,2,0
2364,1725,4,4,0
2397,1215,4,4,0
2183,912,3,3,0
2653,1983,2,2,0
2808,522,1,1,0
2585,1203,2,2,0
2216,1643,2,2,0
2800,968,4,4,0
2277,4522,4,4,0
2500,1122,2,2,0
2610,2734,6,6,0
2423,1428,2,2,0
2261,466,3,3,0
2320,1194,3,3,0
2801,638,5,5,0
2407,1296,1,1,0
2267,1005,5,5,0
2385,566,1,1,0
2375,818,1,1,0
2386,376,3,3,0
2252,288,1,1,0
2212,5212,4,4,0
2790,969,1,1,0
2529,205,1,1,0
2192,1562,4,4,0
2620,2731,5,5,0
2312,986,6,6,0
2614,1222,1,1,0
2535,867,1,1,0
2256,877,1,1,0
2803,1154,4,4,0
2270,1184,3,3,0
2259,1797,2,2,0
2709,543,2,2,0
2098,1207,3,2,1
2530,1445,4,4,0
2016,1513,1,1,0
2392,1193,1,1,0
2293,841,2,2,0
2268,1761,4,4,0
2662,750,1,1,0
2676,1348,9,9,0
2218,929,4,4,0
2562,978,2,2,0
2743,532,1,1,0
2634,1042,1,1,0
2480,1188,2,2,0
2571,1333,1,1,0
2663,1707,5,5,0
2096,680,2,2,0
2273,1917,3,3,0
2363,481,2,2,0
2414,619,1,1,0
2281,2057,3,3,0
2214,1469,2,2,0
2706,1513,5,5,0
2025,2761,2,2,0
2156,675,2,2,0
2296,1477,4,4,0
2467,286,1,1,0
2274,1727,1,1,0
2478,1262,2,2,0
2462,1751,3,3,0
2512,2525,2,2,0
2417,235,1,1,0
2659,1570,1,1,0
2368,1952,3,3,0
2091,3381,4,4,0
2640,1027,1,1,0
2356,1701,2,2,0
2225,2222,2,2,0
2271,1940,1,1,0
2084,1317,1,1,0
2396,1393,2,2,0
2604,700,1,1,0
2773,1398,1,1,0
2621,1032,1,1,0
2250,1452,2,2,0
2651,880,2,2,0
2770,2445,4,4,0
2424,1556,2,2,0
2024,738,1,1,0
2749,1157,5,3,2
2561,1472,3,3,0
2233,916,3,3,0
2210,1654,5,5,0
2573,2657,1,1,0
2294,2346,1,1,0
2517,927,1,1,0
2551,178,2,2,0
2784,1245,3,3,0
2702,1552,4,4,0
2067,928,1,1,0
2107,759,1,1,0
2470,900,1,1,0
2598,2400,4,4,0
2236,1137,5,5,0
2642,106,1,1,0
2708,1170,1,1,0
2189,1154,1,1,0
2097,570,2,2,0
2463,510,2,2,0
2486,1746,1,1,0
2138,1736,4,4,0
2453,1211,1,1,0
2799,1493,2,2,0
2793,1500,1,1,0
2570,827,2,2,0
2027,669,1,1,0
2265,778,5,5,0
2205,707,1,1,0
2191,1904,1,1,0
2441,1814,1,1,0
2460,1155,2,2,0
2664,1351,1,1,0
2269,1852,3,3,0
2661,1429,3,3,0
2607,2220,1,1,0
2207,5043,3,3,0
2744,1719,2,2,0
2705,1218,1,1,0
2791,1452,2,2,0
2612,3050,3,3,0
2120,1655,1,1,0
2576,1876,1,1,0
2406,1747,2,2,0
2275,700,1,1,0
2772,432,1,1,0
2644,1304,3,3,0
2510,1367,2,2,0
2443,1209,4,4,0
2565,1926,2,2,0
2740,1242,2,2,0
2182,658,1,1,0
2493,1662,1,1,0
2425,90,1,1,0
2768,2277,2,2,0
2451,833,1,1,0
2739,1955,3,3,0
2014,674,1,1,0
2123,1564,2,2,0
2454,750,1,1,0
2198,1666,2,2,0
2595,1188,1,1,0
2078,1500,1,1,0
2472,1725,2,2,0
2635,1039,1,1,0
2568,1580,1,1,0
2464,4722,1,0,1
2148,652,2,2,0
2184,1160,3,3,0
2583,1705,1,1,0
2151,1603,1,1,0
2509,361,1,1,0
2254,1790,2,2,0
2416,618,1,1,0
2492,735,1,1,0
2377,381,2,2,0
2121,1476,1,1,0
2012,1804,1,1,0
2582,2120,1,1,0
2395,1364,1,1,0
2729,2490,1,1,0
2042,462,1,1,0
2828,1867,1,1,0
2400,1233,1,1,0
2032,1630,1,1,0
2015,850,2,2,0
2527,1491,2,2,0
2754,1200,1,1,0
2652,425,1,1,0
2332,1397,2,2,0
2102,1276,2,2,0
2309,1609,1,1,0
2104,1091,1,1,0
2415,1782,1,1,0
2518,1449,1,1,0
2438,1083,2,2,0
2591,1309,2,2,0
3008,1252,3,3,0
3310,4053,354,58,296
3113,855,5,5,0
3063,1447,15,15,0
3226,898,4,4,0
3030,1845,3,3,0
3138,1198,30,24,6
3095,1903,91,38,53
3235,588,7,7,0
3118,2006,49,30,19
3304,2136,23,23,0
3264,1731,17,17,0
3254,1531,37,28,9
